sessionId,appId,gameName,sessionStart,sessionEnd,videoId,unlockEpoch,achievementApiName,displayName,rarity,zCubes
85189cacc82e,4262310,All Hail the Orb,2026-04-25T22:47:42.027Z,2026-04-26T01:37:55.687Z,_Ioy4LPd58U,2026-04-25T22:57:18.000Z,ACH_CLICK_ORB_1K,In Orb we trust!,97.9,2
85189cacc82e,4262310,All Hail the Orb,2026-04-25T22:47:42.027Z,2026-04-26T01:37:55.687Z,_Ioy4LPd58U,2026-04-25T23:03:26.000Z,ACH_DEVOTION_10K,"Steady there, there's enough devotion to go around",94.8,5
85189cacc82e,4262310,All Hail the Orb,2026-04-25T22:47:42.027Z,2026-04-26T01:37:55.687Z,_Ioy4LPd58U,2026-04-25T23:05:42.000Z,ACH_OBELISK_1,A Humble Beginning,96.2,4
85189cacc82e,4262310,All Hail the Orb,2026-04-25T22:47:42.027Z,2026-04-26T01:37:55.687Z,_Ioy4LPd58U,2026-04-25T23:07:37.000Z,ACH_FIRST_DEVOTEE,Your First Devotee,97.8,2
85189cacc82e,4262310,All Hail the Orb,2026-04-25T22:47:42.027Z,2026-04-26T01:37:55.687Z,_Ioy4LPd58U,2026-04-25T23:08:11.000Z,ACH_DUCK_1,First Quack,94.9,5
85189cacc82e,4262310,All Hail the Orb,2026-04-25T22:47:42.027Z,2026-04-26T01:37:55.687Z,_Ioy4LPd58U,2026-04-25T23:22:09.000Z,ACH_DEVOTION_100K,"Wow, you are really devoted to the orb. Cooooool",91.2,9
85189cacc82e,4262310,All Hail the Orb,2026-04-25T22:47:42.027Z,2026-04-26T01:37:55.687Z,_Ioy4LPd58U,2026-04-25T23:27:04.000Z,ACH_LIFE_ESSENCE_10,Truely a spectacle of life here!,92.4,8
85189cacc82e,4262310,All Hail the Orb,2026-04-25T22:47:42.027Z,2026-04-26T01:37:55.687Z,_Ioy4LPd58U,2026-04-25T23:32:46.000Z,ACH_CREATE_5_CULTISTS,Create 5 Cultists,94.5,6
85189cacc82e,4262310,All Hail the Orb,2026-04-25T22:47:42.027Z,2026-04-26T01:37:55.687Z,_Ioy4LPd58U,2026-04-25T23:33:25.000Z,ACH_TOASTY_BUNS,Toasty Buns,89.3,11
85189cacc82e,4262310,All Hail the Orb,2026-04-25T22:47:42.027Z,2026-04-26T01:37:55.687Z,_Ioy4LPd58U,2026-04-25T23:37:00.000Z,ACH_OBELISK_2,Foundation of Faith,90.7,9
85189cacc82e,4262310,All Hail the Orb,2026-04-25T22:47:42.027Z,2026-04-26T01:37:55.687Z,_Ioy4LPd58U,2026-04-25T23:43:09.000Z,ACH_LIFE_ESSENCE_100,Oooo what do these pretty blue crystals do?,90.8,9
85189cacc82e,4262310,All Hail the Orb,2026-04-25T22:47:42.027Z,2026-04-26T01:37:55.687Z,_Ioy4LPd58U,2026-04-26T00:07:52.000Z,ACH_LIFE_ESSENCE_1K,You must really love spinning that crystal!,87,13
85189cacc82e,4262310,All Hail the Orb,2026-04-25T22:47:42.027Z,2026-04-26T01:37:55.687Z,_Ioy4LPd58U,2026-04-26T00:26:48.000Z,ACH_GOLD_1,First Coin,87.6,12
